Instance,Algo,InitCost,FinalCost
chr15a,S,58928,17138
chr15a,G,38292,17030
chr15a,S,75958,10616
chr15a,G,52938,14802
chr15a,S,57286,17956
chr15a,G,67012,16000
chr15a,S,77372,13980
chr15a,G,47504,15336
chr15a,S,72958,14794
chr15a,G,78182,12214
chr15a,S,69982,12190
chr15a,G,66580,12650
chr15a,S,56392,14908
chr15a,G,62858,12522
chr15a,S,50532,13390
chr15a,G,67664,17118
chr15a,S,56994,15372
chr15a,G,37436,16316
chr15a,S,52580,13996
chr15a,G,55452,18792
chr15a,S,62694,14260
chr15a,G,55598,19008
chr15a,S,60912,11724
chr15a,G,67476,14812
chr15a,S,60934,13370
chr15a,G,45910,18494
chr15a,S,54660,16878
chr15a,G,75856,12874
chr15a,S,47414,15580
chr15a,G,43064,17028
chr15a,S,70364,13272
chr15a,G,57494,14786
chr15a,S,43616,14806
chr15a,G,43928,15152
chr15a,S,62132,17010
chr15a,G,59680,13246
chr15a,S,76508,12066
chr15a,G,82514,13680
chr15a,S,67444,12050
chr15a,G,59830,15118
chr15a,S,58600,12770
chr15a,G,49570,19322
chr15a,S,66402,11610
chr15a,G,45840,17660
chr15a,S,59802,12074
chr15a,G,72382,17016
chr15a,S,82050,16212
chr15a,G,56042,14288
chr15a,S,62748,17564
chr15a,G,49818,12282
chr15a,S,45202,16706
chr15a,G,74132,21460
chr15a,S,48832,14338
chr15a,G,61458,15952
chr15a,S,54210,12380
chr15a,G,59614,14818
chr15a,S,51794,16944
chr15a,G,49114,12972
chr15a,S,70958,14426
chr15a,G,69914,13290
chr15a,S,71774,18284
chr15a,G,50344,14322
chr15a,S,57478,13894
chr15a,G,42640,17610
chr15a,S,81600,15504
chr15a,G,72414,17114
chr15a,S,67996,14908
chr15a,G,59798,16042
chr15a,S,47954,13662
chr15a,G,57904,15924
chr15a,S,55890,18796
chr15a,G,49854,16524
chr15a,S,61078,13166
chr15a,G,66172,15824
chr15a,S,73600,15896
chr15a,G,67684,17050
chr15a,S,62696,11942
chr15a,G,58294,17874
chr15a,S,68306,13544
chr15a,G,75156,13570
chr15a,S,58166,14076
chr15a,G,65038,13768
chr15a,S,53432,17208
chr15a,G,67600,12484
chr15a,S,63718,15680
chr15a,G,40690,16828
chr15a,S,52884,14054
chr15a,G,57586,14200
chr15a,S,64060,15942
chr15a,G,59696,14052
chr15a,S,79744,14524
chr15a,G,59064,13686
chr15a,S,45364,11292
chr15a,G,38122,14644
chr15a,S,65978,10682
chr15a,G,82618,14016
chr15a,S,72556,14746
chr15a,G,55158,13392
chr15a,S,59052,15400
chr15a,G,54450,16122
chr15a,S,69088,13320
chr15a,G,57802,17654
chr15a,S,72652,15602
chr15a,G,55722,13956
chr15a,S,46844,16314
chr15a,G,60478,13080
