Instance,QualityGap,SimToOpt,SimToOther
nug15,-100.0870,0.0000,0.0734
nug15,-100.0870,0.0000,0.0983
nug15,-100.0870,0.1333,0.1084
nug15,-100.0870,0.0000,0.0889
nug15,-100.0870,0.0000,0.0916
nug15,-100.0870,0.0667,0.1475
nug15,-100.0870,1.0000,0.0929
nug15,-100.0870,0.2000,0.0943
nug15,-100.0870,0.2667,0.1226
nug15,-100.0870,0.1333,0.0943
nug15,-100.0870,0.1333,0.0593
nug15,-100.0870,0.0667,0.0956
nug15,-100.0870,0.0667,0.0976
nug15,-100.0870,0.0667,0.1192
nug15,-100.0870,0.0000,0.1098
nug15,-100.0870,0.0667,0.0613
nug15,-100.0870,0.0667,0.0822
nug15,-100.0870,0.0667,0.0848
nug15,-100.0870,0.0667,0.0754
nug15,-100.0870,0.0000,0.1125
nug15,-100.0870,0.0000,0.0869
nug15,-100.0870,0.2667,0.0815
nug15,-100.0870,0.0667,0.0929
nug15,-100.0870,0.0667,0.0909
nug15,-100.0870,0.0667,0.1017
nug15,-100.0870,0.0000,0.0761
nug15,-100.0870,0.0667,0.1286
nug15,-100.0870,0.0667,0.1199
nug15,-100.0870,0.0667,0.1037
nug15,-100.0870,0.0000,0.1024
nug15,-100.0870,0.0667,0.1219
nug15,-100.0870,0.6000,0.0795
nug15,-100.0870,0.0667,0.0956
nug15,-100.0870,0.0000,0.1017
nug15,-100.0870,0.1333,0.1199
nug15,-100.0870,0.2000,0.1192
nug15,-100.0870,0.0000,0.0943
nug15,-100.0870,0.4000,0.1044
nug15,-100.0870,0.0667,0.0768
nug15,-100.0870,0.0667,0.1091
nug15,-100.0870,0.1333,0.0976
nug15,-100.0870,0.0667,0.0929
nug15,-100.0870,0.3333,0.1024
nug15,-100.0870,0.1333,0.0963
nug15,-100.0870,0.0667,0.1111
nug15,-100.0870,0.1333,0.1165
nug15,-100.0870,0.0667,0.0781
nug15,-100.0870,0.0000,0.1152
nug15,-100.0870,0.0667,0.1077
nug15,-100.0870,0.4000,0.0990
nug15,-100.0870,0.2000,0.0889
nug15,-100.0870,0.6000,0.0795
nug15,-100.0870,0.1333,0.0801
nug15,-100.0870,0.2000,0.1024
nug15,-100.0870,0.0667,0.0653
nug15,-100.0870,0.0000,0.0882
nug15,-100.0870,0.2000,0.0997
nug15,-100.0870,0.1333,0.0929
nug15,-100.0870,0.0000,0.1051
